3801,23,421,"Salmon - Atlantic, Fresh, Whole",2756,USD,2020-09-02T03:54:12Z,2020-09-02
9999,25,149,Lemonade - Pineapple Passion,4427,USD,2020-09-02T07:19:53Z,2020-09-03
1357,99,117,"Beans - Black Bean, Dry",3463,USD,2020-09-02T05:52:34Z,2020-09-04
7799,30,894,Onions - White,2431,USD,2020-09-02T15:51:56Z,2020-09-02
7389,84,726,Knife Plastic - White,3264,USD,2020-09-02T04:00:33Z,2020-09-02
9934,23,888,"Lamb - Leg, Boneless",2032,EUR,2020-09-02T18:42:17Z,2020-09-02
5310,85,579,Artichoke - Fresh,4617,EUR,2020-09-02T03:08:48Z,2020-09-02
1532,26,658,Flour - Bread,3540,EUR,2020-09-02T16:55:57Z,2020-09-02
5591,17,294,French Kiss Vanilla,3065,EUR,2020-09-02T01:00:25Z,2020-09-02
1278,10,146,Onion Powder,1830,EUR,2020-09-02T15:48:40Z,2020-09-02
2154,36,352,Cake - Bande Of Fruit,866,EUR,2020-09-02T03:43:30Z,2020-09-02
6891,89,642,Lid - 16 Oz And 32 Oz,1481,EUR,2020-09-02T13:50:07Z,2020-09-02
6917,56,421,Cheese - Valancey,2900,EUR,2020-09-02T23:51:38Z,2020-09-02
6505,34,859,"7up Diet, 355 Ml",3836,USD,2020-09-02T00:35:07Z,2020-09-02
8296,84,594,"Wine - White, Concha Y Toro",1413,USD,2020-09-02T17:24:23Z,2020-09-02
7308,50,851,Wine - Muscadet Sur Lie,3271,USD,2020-09-02T21:01:51Z,2020-09-02
2686,20,527,Foil Cont Round,1899,USD,2020-09-02T09:01:59Z,2020-09-02
8998,28,610,Syrup - Monin - Blue Curacao,4033,USD,2020-09-02T03:36:01Z,2020-09-02
7365,90,840,Mushroom - White Button,4712,USD,2020-09-02T19:03:42Z,2020-09-02
6534,47,803,"Lamb - Whole, Frozen",3850,USD,2020-09-02T20:27:04Z,2020-09-02
8215,65,733,Sauce - Fish 25 Ozf Bottle,2838,USD,2020-09-02T07:28:47Z,2020-09-02
5380,94,671,Sprouts - Baby Pea Tendrils,1890,USD,2020-09-02T23:40:59Z,2020-09-02
9275,91,285,Wine - Casillero Del Diablo,1586,USD,2020-09-02T23:13:04Z,2020-09-02
2239,83,110,Longos - Grilled Veg Sandwiches,3502,USD,2020-09-02T12:13:04Z,2020-09-02
3741,73,374,Paste - Black Olive,3622,USD,2020-09-02T21:49:34Z,2020-09-02
9071,73,480,Pastry - Chocolate Chip Muffin,1960,USD,2020-09-02T22:03:04Z,2020-09-02
9776,70,348,"Potatoes - Purple, Organic",502,USD,2020-09-02T07:21:12Z,2020-09-02
5048,63,500,Soup - Campbells - Chicken Noodle,4110,USD,2020-09-02T08:11:06Z,2020-09-02
1725,37,845,Longos - Grilled Veg Sandwiches,4736,USD,2020-09-02T13:43:40Z,2020-09-02
8238,41,362,Compound - Mocha,1323,USD,2020-09-02T07:01:55Z,2020-09-02
4424,70,303,Potatoes - Peeled,3080,USD,2020-09-02T15:16:04Z,2020-09-02
2259,74,440,Pork - Caul Fat,3326,USD,2020-09-02T19:44:24Z,2020-09-02
9961,42,773,Myers Planters Punch,3731,USD,2020-09-02T16:01:04Z,2020-09-02
5346,90,591,Wine - Casablanca Valley,3082,USD,2020-09-02T02:13:39Z,2020-09-03
9551,41,309,Mortadella,778,USD,2020-09-02T15:42:46Z,2020-09-04
9463,75,281,Dc - Frozen Momji,3618,USD,2020-09-02T13:10:11Z,2020-09-05
1995,22,884,Muffins - Assorted,3086,USD,2020-09-02T16:35:42Z,2020-09-06
6142,56,717,"Juice - Clamato, 341 Ml",2408,USD,2020-09-02T18:53:53Z,2020-09-07
2174,11,479,White Fish - Filets,1138,USD,2020-09-02T09:54:15Z,2020-09-08
9654,91,386,Lobster - Base,2899,EUR,2020-09-02T14:45:03Z,2020-09-09
9119,32,538,Beer - Maudite,4701,EUR,2020-09-02T05:12:49Z,2020-09-10
8563,88,467,Sherry - Dry,2051,EUR,2020-09-02T03:37:45Z,2020-09-10
6300,43,162,Potatoes - Pei 10 Oz,1130,EUR,2020-09-02T13:24:19Z,2020-09-10
